# -------
# invalid: data/dm-tempo-mensal.csv.gz
# -------

====  =====  ==========  =================================================================================================================
row   field  code        message                                                                                                          
====  =====  ==========  =================================================================================================================
 265      5  type-error  Type error in the cell "14/1918" in row "265" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 266      2  type-error  Type error in the cell "191813" in row "266" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 266      5  type-error  Type error in the cell "13/1918" in row "266" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 279      2  type-error  Type error in the cell "191900" in row "279" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 279      5  type-error  Type error in the cell "00/1919" in row "279" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 280      2  type-error  Type error in the cell "191914" in row "280" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 280      5  type-error  Type error in the cell "14/1919" in row "280" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 281      2  type-error  Type error in the cell "191913" in row "281" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 281      5  type-error  Type error in the cell "13/1919" in row "281" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 294      2  type-error  Type error in the cell "192000" in row "294" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 294      5  type-error  Type error in the cell "00/1920" in row "294" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 295      2  type-error  Type error in the cell "192014" in row "295" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 295      5  type-error  Type error in the cell "14/1920" in row "295" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 296      2  type-error  Type error in the cell "192013" in row "296" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 296      5  type-error  Type error in the cell "13/1920" in row "296" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 309      2  type-error  Type error in the cell "192100" in row "309" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 309      5  type-error  Type error in the cell "00/1921" in row "309" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 310      2  type-error  Type error in the cell "192114" in row "310" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 310      5  type-error  Type error in the cell "14/1921" in row "310" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
 311      2  type-error  Type error in the cell "192113" in row "311" and field "anomes_iso" at position "2": type is "date/%Y%m"         
 311      5  type-error  Type error in the cell "13/1921" in row "311" and field "anomes_formatado" at position "5": type is "date/%m/%Y" 
